DataPoint,UnixTime,SessionTime,Wheel_RPM_Left,Wheel_RPM_Right,Stroke1_mm,Stroke2_mm,GPS_Lat,GPS_Lng,GPS_Age,GPS_Course,GPS_Speed,IMU_AccelX,IMU_AccelY,IMU_AccelZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ
521,1776426651039,97253,117.30,115.30,21.31,21.78,42.669371,-83.219559,78.00,3.77,10.01,-0.6430,-0.0380,1.0470,-0.1800,0.1020,-0.0190
522,1776426651239,97453,105.20,105.40,20.99,22.37,42.669371,-83.219553,148.00,6.11,9.04,-0.5390,0.0520,1.0440,0.0700,0.0950,0.0260
523,1776426651439,97653,95.10,96.60,21.01,23.12,42.669372,-83.219548,121.00,13.06,8.27,-0.4290,0.1420,1.0170,0.1590,0.1410,0.0710
524,1776426651639,97853,87.70,90.90,20.51,23.94,42.669374,-83.219543,110.00,25.22,7.70,-0.3150,0.2310,0.9600,-0.0730,-0.0620,0.1160
525,1776426651839,98053,83.60,88.80,20.43,24.54,42.669376,-83.219539,54.00,42.85,7.34,-0.1980,0.3200,0.9940,-0.0360,-0.0670,0.1600
526,1776426652040,98254,79.70,86.10,20.30,25.23,42.669380,-83.219538,97.00,65.72,7.20,-0.0790,0.4070,0.9840,0.0720,0.0530,0.2040
527,1776426652240,98454,80.30,89.60,20.21,26.02,42.669383,-83.219538,84.00,93.14,7.28,0.0410,0.4930,1.0040,-0.0930,0.1430,0.2460
528,1776426652440,98654,83.20,92.00,20.22,26.52,42.669387,-83.219541,71.00,124.00,7.57,0.1610,0.5770,1.0430,-0.1370,0.0660,0.2890
529,1776426652640,98854,88.60,99.20,20.42,27.27,42.669388,-83.219546,112.00,157.05,8.07,0.2790,0.6590,0.9570,-0.1020,0.1590,0.3300
530,1776426652840,99054,95.60,107.60,20.93,27.82,42.669387,-83.219551,112.00,191.11,8.78,0.3940,0.7390,1.0410,-0.1140,0.1780,0.3690
531,1776426653040,99254,105.30,120.00,21.22,28.50,42.669384,-83.219556,143.00,225.18,9.69,0.5050,0.8160,1.0200,-0.0200,-0.0190,0.4080
532,1776426653240,99454,118.50,133.10,21.36,29.18,42.669379,-83.219558,140.00,258.55,10.79,0.6110,0.8900,0.9670,-0.0860,-0.0090,0.4450
533,1776426653440,99654,131.80,147.50,21.53,29.66,42.669373,-83.219555,99.00,290.76,12.07,0.7110,0.9600,1.0000,-0.0530,-0.0140,0.4800
534,1776426653640,99854,149.00,165.70,21.58,30.19,42.669369,-83.219548,101.00,321.53,13.52,0.8040,1.0280,1.0360,0.1270,-0.0690,0.5140
535,1776426653840,100054,167.20,184.70,22.42,29.71,42.669367,-83.219537,134.00,350.75,15.12,0.8890,1.0910,1.0210,0.1940,-0.1110,0.5460
536,1776426654040,100254,186.20,205.90,22.08,31.19,42.669370,-83.219527,135.00,18.40,16.85,0.9650,1.1510,0.9750,-0.0300,0.0100,0.5760
537,1776426654041,100255,,,,,,,,,,,,,,,
538,1776426654241,100455,208.20,227.40,22.36,31.60,42.669377,-83.219517,135.00,44.50,18.71,1.0320,1.2070,1.0110,0.1890,-0.1130,0.6030
539,1776426654441,100655,230.30,251.30,22.56,32.15,42.669386,-83.219512,116.00,69.13,20.67,1.0880,1.2580,1.0140,-0.1900,0.1620,0.6290
540,1776426654641,100855,253.70,273.90,22.73,32.39,42.669398,-83.219513,91.00,92.39,22.71,1.1330,1.3050,1.0390,0.0520,-0.1170,0.6520
541,1776426654841,101055,277.00,298.60,22.76,32.76,42.669409,-83.219520,50.00,114.36,24.81,1.1670,1.3470,1.0010,-0.1190,0.1350,0.6730
542,1776426655041,101255,302.00,325.40,23.08,33.15,42.669418,-83.219533,100.00,135.14,26.95,1.1890,1.3840,0.9760,-0.1550,0.1850,0.6920
543,1776426655241,101455,326.90,349.80,22.91,33.32,42.669425,-83.219551,51.00,154.83,29.11,1.1990,1.4160,1.0460,0.1700,-0.0790,0.7080
544,1776426655441,101655,351.70,375.30,22.96,33.45,42.669426,-83.219572,98.00,173.52,31.26,1.1980,1.4430,1.0450,0.0100,0.1080,0.7220
545,1776426655641,101855,377.60,400.50,23.22,33.82,42.669423,-83.219594,146.00,191.27,33.39,1.1840,1.4650,1.0330,-0.0770,-0.0380,0.7330
546,1776426655841,102055,400.70,425.50,23.27,33.94,42.669415,-83.219616,57.00,208.18,35.48,1.1590,1.4820,1.0180,0.1730,-0.1640,0.7410
547,1776426656041,102255,424.40,447.50,23.36,33.91,42.669402,-83.219634,86.00,224.29,37.50,1.1210,1.4930,1.0210,-0.1760,0.1660,0.7470
548,1776426656042,102256,,,,,,,,,,,,,,,
549,1776426656242,102456,446.90,471.20,23.48,33.98,42.669385,-83.219647,127.00,239.68,39.43,1.0730,1.4990,0.9660,0.1230,0.1220,0.7500
550,1776426656442,102656,468.80,491.50,23.29,33.93,42.669365,-83.219655,117.00,254.39,41.25,1.0140,1.5000,1.0160,0.0750,-0.0820,0.7500
551,1776426656642,102856,488.40,510.90,23.47,33.98,42.669343,-83.219656,135.00,268.47,42.96,0.9450,1.4950,0.9530,0.1310,-0.1090,0.7470
552,1776426656842,103056,505.70,529.40,23.38,33.85,42.669322,-83.219649,91.00,281.96,44.52,0.8670,1.4840,0.9730,-0.1230,-0.1400,0.7420
553,1776426657042,103256,521.50,546.40,23.06,33.79,42.669301,-83.219636,124.00,294.91,45.92,0.7800,1.4690,0.9710,-0.1130,0.1270,0.7340
554,1776426657242,103456,538.00,560.10,23.21,33.50,42.669282,-83.219617,75.00,307.34,47.15,0.6850,1.4480,1.0360,0.1760,0.0600,0.7240
555,1776426657442,103656,550.00,572.60,23.09,33.38,42.669266,-83.219592,117.00,319.28,48.20,0.5830,1.4220,1.0310,0.1980,-0.0760,0.7110
556,1776426657642,103856,558.70,581.90,22.75,33.08,42.669255,-83.219563,92.00,330.75,49.05,0.4750,1.3910,0.9510,0.0530,-0.1050,0.6950
557,1776426657842,104056,566.90,588.60,23.71,31.46,42.669247,-83.219531,107.00,341.78,49.71,0.3630,1.3550,0.9670,-0.1860,0.1580,0.6770
558,1776426658042,104256,573.80,593.50,22.53,32.50,42.669243,-83.219497,52.00,352.38,50.15,0.2470,1.3130,1.0260,-0.1680,-0.1360,0.6570
559,1776426658242,104456,576.20,597.00,22.16,32.07,42.669245,-83.219463,72.00,2.56,50.38,0.1280,1.2680,0.9980,0.0020,0.1590,0.6340
560,1776426658243,104457,,,,,,,,,,,,,,,
561,1776426658443,104657,576.20,596.00,21.92,31.80,42.669250,-83.219430,105.00,12.33,50.40,0.0080,1.2170,0.9990,0.1850,0.0230,0.6090
562,1776426658643,104857,575.00,593.10,22.20,31.30,42.669259,-83.219398,68.00,21.70,50.20,-0.1110,1.1630,0.9990,-0.1660,-0.0590,0.5810
563,1776426658843,105057,569.70,589.00,22.31,30.75,42.669272,-83.219369,58.00,30.68,49.78,-0.2300,1.1040,1.0320,0.0730,-0.0770,0.5520
564,1776426659043,105257,563.40,580.10,22.48,30.26,42.669287,-83.219343,146.00,39.24,49.16,-0.3470,1.0410,1.0050,-0.1810,0.1490,0.5200
565,1776426659243,105457,553.60,570.10,22.59,29.77,42.669305,-83.219321,75.00,47.40,48.33,-0.4590,0.9740,0.9920,-0.0830,-0.0740,0.4870
566,1776426659443,105657,543.40,557.80,22.85,29.13,42.669325,-83.219302,100.00,55.13,47.31,-0.5680,0.9040,1.0050,0.1280,-0.0940,0.4520
567,1776426659643,105857,529.10,542.60,23.06,28.56,42.669345,-83.219288,70.00,62.42,46.10,-0.6710,0.8300,0.9890,-0.1940,-0.1910,0.4150
568,1776426659843,106057,513.50,526.20,23.24,28.12,42.669366,-83.219277,131.00,69.24,44.72,-0.7670,0.7540,1.0380,0.0910,-0.1700,0.3770
569,1776426660043,106257,497.30,508.70,23.32,27.36,42.669387,-83.219270,58.00,75.57,43.19,-0.8550,0.6750,0.9880,0.1580,-0.2000,0.3370
570,1776426660243,106457,478.60,486.80,23.33,26.66,42.669407,-83.219266,94.00,81.35,41.50,-0.9350,0.5930,0.9720,0.1870,0.1220,0.2970
571,1776426660443,106657,457.50,466.40,23.28,26.04,42.669427,-83.219264,70.00,86.55,39.69,-1.0050,0.5100,0.9530,-0.0410,0.1650,0.2550
572,1776426660444,106658,,,,,,,,,,,,,,,
573,1776426660644,106858,436.20,442.20,23.22,25.36,42.669446,-83.219264,98.00,91.09,37.78,-1.0660,0.4240,0.9530,0.0030,-0.0930,0.2120
574,1776426660844,107058,412.60,418.70,23.30,24.64,42.669463,-83.219267,90.00,94.91,35.77,-1.1150,0.3370,1.0480,-0.0230,0.0610,0.1690
575,1776426661044,107258,389.40,394.20,23.14,23.96,42.669480,-83.219270,90.00,97.90,33.69,-1.1540,0.2490,0.9930,0.1250,0.0860,0.1240
576,1776426661244,107458,365.80,367.50,23.05,23.21,42.669496,-83.219273,57.00,99.95,31.56,-1.1810,0.1600,1.0110,0.1770,0.1630,0.0800
577,1776426661444,107658,341.10,343.20,22.99,22.55,42.669510,-83.219277,108.00,100.91,29.41,-1.1960,0.0700,0.9880,0.1770,0.1480,0.0350
578,1776426661644,107858,316.90,317.20,22.78,21.93,42.669523,-83.219280,141.00,100.62,27.25,-1.2000,-0.0200,1.0290,-0.1180,-0.1250,-0.0100
579,1776426661844,108058,292.70,291.40,23.30,21.18,42.669536,-83.219283,146.00,98.85,25.11,-1.1910,-0.1100,1.0300,0.1890,0.1890,-0.0550
580,1776426662044,108258,269.70,265.40,22.71,20.35,42.669547,-83.219285,70.00,95.34,23.00,-1.1710,-0.1990,1.0140,-0.1990,0.1020,-0.1000
581,1776426662244,108458,246.40,240.90,22.44,19.72,42.669558,-83.219285,124.00,89.77,20.95,-1.1380,-0.2880,1.0020,0.1890,0.1510,-0.1440
582,1776426662444,108658,224.70,217.80,22.34,18.98,42.669567,-83.219283,58.00,81.76,18.98,-1.0950,-0.3760,1.0090,-0.0260,0.1060,-0.1880
583,1776426662645,108859,203.10,195.40,22.18,18.29,42.669575,-83.219279,103.00,70.83,17.11,-1.0400,-0.4620,1.0160,0.0670,0.0050,-0.2310
584,1776426662845,109059,183.40,174.30,22.18,17.70,42.669582,-83.219273,133.00,56.41,15.35,-0.9750,-0.5470,0.9990,-0.1780,0.0330,-0.2740
585,1776426663045,109259,164.60,155.00,22.05,16.87,42.669586,-83.219266,88.00,37.85,13.73,-0.9000,-0.6300,0.9900,0.0580,0.0130,-0.3150
586,1776426663245,109459,147.50,137.80,21.84,16.24,42.669587,-83.219258,125.00,14.41,12.26,-0.8170,-0.7100,1.0050,0.1320,-0.1580,-0.3550
587,1776426663445,109659,133.60,121.70,21.50,15.61,42.669586,-83.219251,150.00,345.30,10.96,-0.7250,-0.7880,1.0470,-0.0150,0.0490,-0.3940
588,1776426663645,109859,122.20,106.70,21.42,15.11,42.669582,-83.219246,131.00,309.77,9.83,-0.6260,-0.8630,1.0390,0.0830,0.1550,-0.4320
589,1776426663845,110059,110.70,95.50,21.30,14.59,42.669578,-83.219246,142.00,267.21,8.89,-0.5210,-0.9350,0.9530,-0.0660,-0.0370,-0.4680
590,1776426664045,110259,103.30,87.60,21.05,13.91,42.669575,-83.219251,55.00,217.40,8.16,-0.4100,-1.0040,0.9800,0.1750,-0.1560,-0.5020
591,1776426664245,110459,97.10,79.50,20.61,13.39,42.669576,-83.219256,125.00,160.66,7.63,-0.2950,-1.0690,0.9850,-0.1480,-0.1500,-0.5340
592,1776426664446,110660,94.60,75.20,20.52,12.99,42.669580,-83.219257,79.00,98.05,7.31,-0.1780,-1.1300,1.0500,0.0920,-0.1780,-0.5650
593,1776426664646,110860,92.90,74.60,19.99,12.52,42.669582,-83.219252,70.00,31.32,7.20,-0.0580,-1.1870,0.9780,0.0280,0.1890,-0.5940
594,1776426664846,111060,95.10,75.50,20.00,12.06,42.669580,-83.219248,72.00,322.68,7.31,0.0620,-1.2400,0.9530,-0.1230,0.1970,-0.6200
595,1776426665046,111260,99.50,78.60,20.51,11.77,42.669576,-83.219250,122.00,254.39,7.64,0.1810,-1.2880,1.0070,-0.1430,-0.1980,-0.6440
596,1776426665246,111460,106.00,84.60,21.70,12.61,42.669576,-83.219255,118.00,188.43,8.17,0.2980,-1.3320,1.0280,0.1990,-0.0090,-0.6660
597,1776426665446,111660,115.50,92.60,20.87,11.05,42.669579,-83.219259,90.00,126.20,8.92,0.4130,-1.3710,0.9990,0.1920,-0.0180,-0.6860
598,1776426665646,111860,126.50,104.30,21.16,10.67,42.669584,-83.219256,124.00,68.53,9.86,0.5230,-1.4050,0.9740,-0.1840,-0.0130,-0.7030
599,1776426665846,112060,138.60,116.40,21.90,12.03,42.669585,-83.219249,67.00,15.72,10.99,0.6290,-1.4340,0.9900,0.1130,0.1130,-0.7170
600,1776426666046,112260,155.50,131.40,21.72,10.31,42.669582,-83.219242,112.00,327.75,12.30,0.7270,-1.4580,1.0340,0.0470,-0.1280,-0.7290
601,1776426666247,112461,172.20,147.80,21.84,10.12,42.669575,-83.219240,90.00,284.38,13.77,0.8190,-1.4760,1.0200,-0.1790,-0.0740,-0.7380
602,1776426666447,112661,190.40,167.60,21.92,10.18,42.669568,-83.219244,120.00,245.23,15.40,0.9030,-1.4900,1.0390,0.1800,-0.1930,-0.7450
603,1776426666647,112861,212.00,186.80,22.37,10.05,42.669564,-83.219254,57.00,209.91,17.16,0.9770,-1.4980,1.0230,0.0460,-0.0440,-0.7490
604,1776426666847,113061,232.60,208.50,22.43,9.91,42.669564,-83.219267,150.00,178.01,19.03,1.0420,-1.5000,0.9900,-0.0520,-0.1440,-0.7500
605,1776426667047,113261,255.70,232.60,22.50,10.10,42.669570,-83.219279,82.00,149.17,21.01,1.0960,-1.4970,1.0400,0.0680,-0.1060,-0.7490
606,1776426667247,113461,279.60,256.70,22.85,10.16,42.669579,-83.219288,115.00,123.04,23.06,1.1390,-1.4890,0.9670,-0.1160,0.1910,-0.7440
607,1776426667447,113661,305.10,281.20,22.97,10.20,42.669592,-83.219291,148.00,99.32,25.16,1.1710,-1.4750,1.0450,-0.1270,0.0900,-0.7380
608,1776426667647,113861,329.50,306.40,22.95,10.41,42.669605,-83.219287,144.00,77.74,27.31,1.1910,-1.4560,0.9560,0.1900,-0.0200,-0.7280
609,1776426667847,114061,354.00,331.80,22.98,10.56,42.669618,-83.219276,56.00,58.08,29.47,1.2000,-1.4320,0.9900,0.0480,-0.0590,-0.7160
610,1776426667848,114062,,,,,,,,,,,,,,,
611,1776426668048,114262,379.70,357.50,23.15,10.74,42.669628,-83.219260,83.00,40.13,31.62,1.1960,-1.4030,1.0280,0.0860,0.0640,-0.7010
612,1776426668248,114462,403.70,381.10,23.32,11.03,42.669635,-83.219239,74.00,23.72,33.75,1.1800,-1.3680,1.0460,0.1640,-0.1420,-0.6840
613,1776426668448,114662,426.80,407.00,23.25,11.46,42.669637,-83.219215,100.00,8.71,35.82,1.1530,-1.3290,0.9620,-0.1360,0.1370,-0.6640
614,1776426668648,114862,449.90,430.60,23.24,11.79,42.669635,-83.219189,79.00,354.97,37.83,1.1140,-1.2850,0.9860,0.0240,-0.1070,-0.6420
615,1776426668849,115063,471.60,453.30,23.46,12.19,42.669629,-83.219164,55.00,342.38,39.74,1.0640,-1.2360,0.9920,0.1700,0.0920,-0.6180
616,1776426669049,115263,492.30,474.60,23.49,12.64,42.669619,-83.219139,107.00,330.86,41.55,1.0030,-1.1830,1.0230,-0.0270,0.1740,-0.5910
617,1776426669249,115463,512.30,494.60,23.18,12.95,42.669606,-83.219116,150.00,320.33,43.23,0.9330,-1.1250,1.0100,0.1460,0.0040,-0.5630
618,1776426669449,115663,529.30,511.50,23.25,13.57,42.669589,-83.219097,105.00,310.71,44.76,0.8530,-1.0640,1.0030,-0.1920,-0.0640,-0.5320
619,1776426669649,115863,544.10,528.40,22.99,13.98,42.669569,-83.219080,68.00,301.95,46.14,0.7640,-0.9980,1.0310,-0.0140,0.1700,-0.4990
620,1776426669849,116063,558.80,543.00,23.82,15.48,42.669548,-83.219067,66.00,294.01,47.34,0.6680,-0.9290,1.0290,0.0960,-0.0410,-0.4650
621,1776426670049,116263,569.40,556.30,22.84,15.22,42.669525,-83.219057,113.00,286.83,48.36,0.5650,-0.8570,0.9910,-0.0340,0.0830,-0.4290
622,1776426670249,116463,579.40,565.40,22.92,15.69,42.669500,-83.219051,135.00,280.40,49.18,0.4570,-0.7820,1.0410,0.0570,0.0530,-0.3910
623,1776426670450,116664,584.80,573.90,22.68,16.45,42.669476,-83.219049,54.00,274.68,49.80,0.3430,-0.7040,1.0290,0.0400,-0.0310,-0.3520
624,1776426670650,116864,588.60,579.80,22.46,16.96,42.669451,-83.219049,78.00,269.66,50.21,0.2270,-0.6230,0.9710,0.0290,-0.0300,-0.3120
625,1776426670850,117064,590.90,582.00,22.21,17.73,42.669426,-83.219052,79.00,265.32,50.40,0.1080,-0.5400,0.9720,0.0670,0.1340,-0.2700
626,1776426671050,117264,589.70,582.00,21.91,18.36,42.669401,-83.219056,149.00,261.66,50.38,-0.0120,-0.4550,0.9880,-0.0390,0.1000,-0.2280
627,1776426671250,117464,586.70,580.60,22.02,18.98,42.669376,-83.219063,99.00,258.69,50.14,-0.1310,-0.3690,0.9890,0.0170,-0.0190,-0.1840
628,1776426671450,117664,580.80,575.70,22.25,19.77,42.669352,-83.219071,112.00,256.40,49.69,-0.2500,-0.2810,0.9810,-0.0490,0.1160,-0.1400
629,1776426671650,117864,572.80,569.30,22.40,20.54,42.669328,-83.219080,77.00,254.82,49.03,-0.3660,-0.1920,0.9930,-0.1210,-0.1180,-0.0960
630,1776426671850,118064,561.50,560.20,22.94,21.25,42.669305,-83.219089,92.00,253.96,48.17,-0.4780,-0.1020,0.9560,0.0310,0.0430,-0.0510
631,1776426672050,118264,,,22.75,21.89,,,,,,,,,,,
632,1776426672051,118265,548.30,547.60,23.86,21.97,42.669283,-83.219098,88.00,253.85,47.12,-0.5860,-0.0120,1.0370,0.1730,-0.1760,-0.0060
633,1776426672251,118465,533.90,534.40,23.08,22.62,42.669261,-83.219106,103.00,254.53,45.88,-0.6870,0.0770,0.9650,-0.1010,-0.1520,0.0390
634,1776426672451,118665,516.20,519.00,23.16,23.40,42.669239,-83.219113,119.00,256.06,44.48,-0.7820,0.1670,0.9560,-0.1690,0.1780,0.0840
635,1776426672651,118865,497.30,501.30,23.05,24.08,42.669218,-83.219119,65.00,258.47,42.91,-0.8690,0.2560,1.0460,0.1340,0.0970,0.1280
636,1776426672851,119065,476.40,481.80,23.01,24.80,42.669198,-83.219123,107.00,261.86,41.21,-0.9470,0.3440,0.9900,-0.0600,0.1400,0.1720
637,1776426673051,119265,454.80,461.60,23.34,25.46,42.669178,-83.219125,148.00,266.29,39.38,-1.0160,0.4310,1.0060,-0.1240,0.1230,0.2160
638,1776426673251,119465,430.60,440.30,23.99,25.59,42.669159,-83.219124,76.00,271.87,37.44,-1.0750,0.5170,0.9610,0.1900,-0.0300,0.2580
639,1776426673451,119665,408.30,417.00,23.18,26.90,42.669142,-83.219120,82.00,278.73,35.42,-1.1230,0.6000,1.0050,0.1370,-0.0900,0.3000
640,1776426673651,119865,381.70,393.50,23.21,27.48,42.669126,-83.219114,129.00,287.00,33.34,-1.1590,0.6820,1.0400,-0.0750,-0.1190,0.3410
641,1776426673851,120065,357.50,369.60,23.51,27.22,42.669112,-83.219104,144.00,296.87,31.20,-1.1840,0.7600,0.9630,-0.0830,-0.1130,0.3800
642,1776426674051,120265,332.00,344.30,23.00,28.64,42.669101,-83.219092,121.00,308.52,29.05,-1.1980,0.8370,0.9730,0.0860,0.1250,0.4180
643,1776426674251,120465,,,23.10,29.36,,,,,,,,,,,
644,1776426674252,120466,306.30,320.10,23.29,28.29,42.669092,-83.219077,84.00,322.22,26.89,-1.1990,0.9100,0.9810,0.0920,0.0160,0.4550
645,1776426674452,120666,280.00,296.70,22.71,29.81,42.669088,-83.219062,124.00,338.23,24.75,-1.1880,0.9800,0.9540,-0.1360,-0.1890,0.4900
646,1776426674652,120866,255.70,271.70,22.88,30.30,42.669087,-83.219047,123.00,356.92,22.65,-1.1660,1.0460,1.0160,-0.1490,0.0610,0.5230
647,1776426674852,121066,231.30,248.40,22.54,30.86,42.669091,-83.219033,119.00,18.69,20.61,-1.1320,1.1090,0.9830,0.1790,0.0120,0.5540
648,1776426675052,121266,207.70,226.10,22.35,31.32,42.669097,-83.219024,149.00,44.00,18.66,-1.0860,1.1670,1.0040,-0.0460,-0.0320,0.5840
649,1776426675252,121466,185.60,205.60,22.11,31.86,42.669105,-83.219021,66.00,73.42,16.81,-1.0300,1.2220,0.9860,-0.0700,0.1350,0.6110
650,1776426675452,121666,165.10,185.60,22.00,32.22,42.669112,-83.219024,95.00,107.56,15.07,-0.9630,1.2720,1.0310,0.1760,-0.0480,0.6360
651,1776426675652,121866,145.40,167.30,21.77,32.55,42.669116,-83.219032,89.00,147.11,13.48,-0.8870,1.3170,1.0280,-0.1530,-0.0130,0.6590
652,1776426675852,122066,128.70,151.40,21.75,32.89,42.669115,-83.219040,79.00,192.78,12.03,-0.8020,1.3580,1.0150,-0.0960,0.1010,0.6790
653,1776426675853,122067,,,,,,,,,,,,,,,
654,1776426676053,122267,114.50,137.00,21.53,33.13,42.669110,-83.219043,118.00,245.21,10.76,-0.7090,1.3930,1.0100,0.0400,0.0850,0.6970
655,1776426676253,122467,100.80,123.10,21.29,33.41,42.669106,-83.219039,89.00,304.88,9.66,-0.6090,1.4240,1.0450,-0.0500,-0.1440,0.7120
656,1776426676453,122667,90.70,113.30,21.15,33.51,42.669107,-83.219033,139.00,11.89,8.76,-0.5020,1.4500,0.9890,0.1660,-0.0290,0.7250
657,1776426676653,122867,81.60,105.60,20.75,33.82,42.669111,-83.219033,123.00,85.78,8.05,-0.3910,1.4700,0.9910,-0.0730,-0.1930,0.7350
658,1776426676853,123067,75.60,99.60,20.72,33.96,42.669112,-83.219038,148.00,165.34,7.56,-0.2760,1.4860,0.9590,0.1050,0.1420,0.7430
659,1776426677053,123267,71.70,97.50,20.47,34.00,42.669108,-83.219039,95.00,248.55,7.27,-0.1580,1.4950,0.9990,0.1180,0.1570,0.7480
660,1776426677253,123467,72.00,95.80,20.15,34.07,42.669107,-83.219035,143.00,332.80,7.20,-0.0380,1.5000,1.0180,0.0270,-0.0510,0.7500
661,1776426677453,123667,74.40,97.10,20.08,33.97,42.669110,-83.219032,74.00,55.32,7.35,0.0820,1.4990,0.9940,0.1200,-0.1020,0.7490
662,1776426677454,123668,,,,,,,,,,,,,,,
663,1776426677654,123868,78.70,100.80,20.63,33.90,42.669112,-83.219036,68.00,133.63,7.71,0.2010,1.4920,0.9550,0.1970,-0.1630,0.7460
664,1776426677854,124068,84.00,107.30,21.38,32.45,42.669111,-83.219041,81.00,205.96,8.28,0.3180,1.4810,0.9910,0.0580,0.0120,0.7400
665,1776426678054,124268,94.40,117.30,21.11,33.76,42.669106,-83.219041,125.00,271.32,9.06,0.4320,1.4640,1.0210,0.1930,0.0900,0.7320
666,1776426678254,124468,105.20,127.90,21.06,33.46,42.669104,-83.219035,121.00,329.43,10.04,0.5410,1.4410,1.0430,-0.1310,-0.1780,0.7210
667,1776426678454,124668,118.70,142.40,21.20,33.40,42.669106,-83.219028,73.00,20.52,11.20,0.6460,1.4140,1.0210,-0.1170,0.0620,0.7070
668,1776426678654,124868,133.90,157.20,21.51,33.01,42.669111,-83.219024,119.00,65.10,12.54,0.7430,1.3810,1.0000,-0.1870,-0.1840,0.6910
669,1776426678854,125068,153.20,174.10,21.72,32.82,42.669118,-83.219027,139.00,103.83,14.04,0.8340,1.3430,0.9780,0.0140,0.0480,0.6720
670,1776426679054,125268,171.60,192.60,21.91,32.36,42.669123,-83.219034,108.00,137.40,15.69,0.9160,1.3010,1.0210,-0.0260,-0.0220,0.6510
671,1776426679254,125468,193.80,214.10,22.12,32.13,42.669125,-83.219046,93.00,166.46,17.47,0.9890,1.2540,0.9760,-0.0700,0.0720,0.6270
672,1776426679454,125668,216.40,234.10,22.38,31.71,42.669123,-83.219059,141.00,191.59,19.36,1.0520,1.2020,1.0110,0.0860,0.1710,0.6010
673,1776426679455,125669,,,,,,,,,,,,,,,
674,1776426679655,125869,240.00,258.20,22.56,31.14,42.669118,-83.219071,59.00,213.33,21.35,1.1040,1.1460,1.0200,0.1060,0.0430,0.5730
675,1776426679855,126069,264.00,281.90,22.68,30.62,42.669108,-83.219081,108.00,232.11,23.41,1.1450,1.0860,1.0350,-0.1160,-0.0530,0.5430
676,1776426680055,126269,288.80,305.10,22.71,30.12,42.669097,-83.219087,139.00,248.32,25.52,1.1750,1.0220,0.9680,0.0140,-0.1900,0.5110
677,1776426680255,126469,313.90,329.70,22.85,29.73,42.669083,-83.219090,116.00,262.28,27.67,1.1940,0.9550,0.9960,-0.0750,0.1770,0.4770
678,1776426680455,126669,340.70,353.60,22.93,29.05,42.669068,-83.219088,63.00,274.27,29.83,1.2000,0.8840,1.0250,0.0520,-0.0560,0.4420
679,1776426680655,126869,365.60,378.80,23.74,27.60,42.669052,-83.219083,84.00,284.51,31.98,1.1940,0.8090,1.0170,-0.0410,-0.1050,0.4050
680,1776426680855,127069,390.80,402.70,23.44,27.86,42.669037,-83.219073,126.00,293.20,34.10,1.1770,0.7320,1.0390,0.0130,0.0880,0.3660
681,1776426681055,127269,415.60,426.30,23.23,27.26,42.669021,-83.219061,147.00,300.50,36.16,1.1470,0.6520,0.9630,0.0850,0.1360,0.3260
682,1776426681255,127469,439.10,448.70,23.39,26.63,42.669006,-83.219046,63.00,306.54,38.16,1.1070,0.5700,1.0200,0.1690,0.1180,0.2850
683,1776426681455,127669,,,23.30,25.95,,,,,,,,,,,
684,1776426681456,127670,462.60,470.10,23.89,25.31,42.668991,-83.219028,126.00,311.45,40.05,1.0550,0.4860,1.0310,0.0690,-0.1510,0.2430
685,1776426681656,127870,483.70,489.70,23.41,25.14,42.668976,-83.219008,69.00,315.32,41.84,0.9920,0.4000,0.9890,0.0960,-0.0500,0.2000
686,1776426681856,128070,503.80,509.40,23.20,24.42,42.668962,-83.218986,69.00,318.23,43.50,0.9200,0.3130,0.9790,0.1110,0.0420,0.1560
687,1776426682056,128270,521.00,526.30,23.37,23.83,42.668948,-83.218962,114.00,320.24,45.01,0.8380,0.2240,0.9770,0.1930,-0.1460,0.1120
688,1776426682256,128470,538.20,539.60,23.22,23.10,42.668933,-83.218937,126.00,321.42,46.35,0.7480,0.1350,0.9750,0.0230,0.1170,0.0670
689,1776426682456,128670,553.20,553.20,23.23,22.39,42.668918,-83.218912,122.00,321.80,47.52,0.6510,0.0450,1.0310,-0.1900,-0.0990,0.0220
690,1776426682656,128870,563.80,564.80,22.79,21.71,42.668903,-83.218886,119.00,321.43,48.51,0.5470,-0.0450,0.9780,0.1350,-0.1560,-0.0230
691,1776426682856,129070,573.80,573.40,22.81,20.86,42.668888,-83.218861,56.00,320.32,49.30,0.4380,-0.1350,0.9530,0.0720,0.0300,-0.0670
692,1776426683056,129270,581.40,579.10,22.55,20.21,42.668871,-83.218835,83.00,318.50,49.88,0.3240,-0.2240,1.0410,-0.0210,-0.1800,-0.1120
693,1776426683256,129470,587.80,582.60,22.35,19.56,42.668854,-83.218811,148.00,315.98,50.25,0.2070,-0.3130,1.0030,-0.1680,0.0840,-0.1560
694,1776426683456,129670,589.70,583.50,22.13,18.71,42.668835,-83.218787,88.00,312.77,50.41,0.0880,-0.4000,0.9750,0.1510,-0.0200,-0.2000
695,1776426683656,129870,588.80,582.50,21.86,18.19,42.668816,-83.218766,145.00,308.86,50.35,-0.0320,-0.4860,1.0050,-0.0110,-0.0190,-0.2430
696,1776426683657,129871,,,,,,,,,,,,,,,
